bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
yes,12,critical account/ other credits existing (other lender),car (used),1804,1000 <= ... < 5000,... < 1 year,20 <= ... < 25,male : single,none,>= 7 years,building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,none,yes,good
no,10,critical account/ other credits existing (other lender),furniture/equipment,2069,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : married/widowed,none,< 1 year,car or other-not included in savings,26,none,own,2,skilled employee / official,1,none,no,good
yes,6,existing credits paid back duly till now,furniture/equipment,1374,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,1 <= ... < 4 years,real estate,36,bank,own,1,unskilled - resident,1,registered under the customers name,yes,good
no,6,no credits taken/ all credits paid back duly,radio/television,426,... < 1000,... >= 7 years,< 20,male : married/widowed,none,>= 7 years,car or other-not included in savings,39,none,own,1,unskilled - resident,1,none,yes,good
yes,12,all credits at this bank paid back duly,radio/television,409,... >= 10000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,4 <= ... < 7 years,real estate,42,none,rent,2,skilled employee / official,1,none,yes,good
yes,7,existing credits paid back duly till now,radio/television,2415,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,guarantor,1 <= ... < 4 years,real estate,34,none,own,1,skilled employee / official,1,none,yes,good
yes,60,delay in paying off in the past,business,6836,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,63,none,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,18,existing credits paid back duly till now,business,1913,... >= 10000,... < 1 year,20 <= ... < 25,male : married/widowed,none,4 <= ... < 7 years,real estate,36,bank,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,existing credits paid back duly till now,furniture/equipment,4020,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,27,stores,own,1,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,car (new),5866,1000 <= ... < 5000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,30,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),business,1264,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,57,none,rent,1,unskilled - resident,1,none,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,1474,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,45,critical account/ other credits existing (other lender),radio/television,4746,... < 1000,... < 1 year,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,none,yes,bad
no,48,critical account/ other credits existing (other lender),education,6110,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,4 <= ... < 7 years,unknown / no property,31,bank,for free,1,skilled employee / official,1,registered under the customers name,yes,good
yes,18,existing credits paid back duly till now,radio/television,2100,... < 1000,1 <= ... < 4 years,< 20,male : single,co-applicant,1 <= ... < 4 years,real estate,37,stores,own,1,skilled employee / official,1,none,yes,bad
yes,10,existing credits paid back duly till now,domestic appliances,1225,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,37,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,9,existing credits paid back duly till now,radio/television,458,... < 1000,1 <= ... < 4 years,< 20,male : single,none,4 <= ... < 7 years,real estate,24,none,own,1,skilled employee / official,1,none,yes,good
no,30,existing credits paid back duly till now,radio/television,2333,5000 <= ... < 10000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,30,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,1158,5000 <= ... < 10000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,26,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,18,delay in paying off in the past,repairs,6204,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,>= 7 years,real estate,44,none,own,1,unskilled - resident,2,registered under the customers name,yes,good
yes,30,critical account/ other credits existing (other lender),car (used),6187,1000 <= ... < 5000,4 <= ... < 7 years,>= 35,male : married/widowed,none,>= 7 years,car or other-not included in savings,24,none,rent,2,skilled employee / official,1,none,yes,good
yes,48,critical account/ other credits existing (other lender),car (used),6143,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,none,>= 7 years,unknown / no property,58,stores,for free,2,unskilled - resident,1,none,yes,bad
no,11,critical account/ other credits existing (other lender),car (new),1393,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
no,36,existing credits paid back duly till now,radio/television,2299,5000 <= ... < 10000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,39,none,own,1,skilled employee / official,1,none,yes,good
yes,6,existing credits paid back duly till now,car (used),1352,5000 <= ... < 10000,unemployed,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,registered under the customers name,yes,good
no,11,critical account/ other credits existing (other lender),car (new),7228,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes,good
no,12,existing credits paid back duly till now,radio/television,2073,1000 <= ... < 5000,1 <= ... < 4 years,< 20,female : divorced/separated/married,co-applicant,1 <= ... < 4 years,real estate,28,none,own,1,skilled employee / official,1,none,yes,good
yes,24,delay in paying off in the past,furniture/equipment,2333,unknown/no savings,... < 1 year,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1,none,yes,good
yes,27,delay in paying off in the past,car (used),5965,... < 1000,... >= 7 years,>= 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,radio/television,1262,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,25,none,own,1,skilled employee / official,1,none,yes,good
no,18,existing credits paid back duly till now,car (used),3378,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : single,none,< 1 year,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,36,delay in paying off in the past,car (new),2225,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,57,bank,for free,2,skilled employee / official,1,registered under the customers name,yes,bad
no,6,all credits at this bank paid back duly,car (new),783,unknown/no savings,1 <= ... < 4 years,>= 35,male : single,guarantor,1 <= ... < 4 years,real estate,26,stores,own,1,unskilled - resident,2,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,6468,unknown/no savings,unemployed,25 <= ... < 35,male : single,none,< 1 year,unknown / no property,52,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,36,critical account/ other credits existing (other lender),radio/television,9566,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,31,stores,own,2,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,car (new),1961,... < 1000,... >= 7 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
yes,36,critical account/ other credits existing (other lender),furniture/equipment,6229,... < 1000,... < 1 year,< 20,female : divorced/separated/married,co-applicant,>= 7 years,unknown / no property,23,none,rent,2,unskilled - resident,1,registered under the customers name,yes,bad
yes,9,existing credits paid back duly till now,business,1391,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : married/widowed,none,< 1 year,real estate,27,bank,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,15,critical account/ other credits existing (other lender),radio/television,1537,unknown/no savings,... >= 7 years,< 20,male : single,guarantor,>= 7 years,real estate,50,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,36,no credits taken/ all credits paid back duly,business,1953,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,48,no credits taken/ all credits paid back duly,business,14421,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,25,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
no,24,existing credits paid back duly till now,radio/television,3181,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,27,existing credits paid back duly till now,repairs,5190,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,48,none,own,4,skilled employee / official,2,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,radio/television,2171,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,29,bank,own,1,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,car (new),1007,... >= 10000,1 <= ... < 4 years,< 20,male : married/widowed,none,< 1 year,real estate,22,none,own,1,skilled employee / official,1,none,yes,good
no,36,existing credits paid back duly till now,education,1819,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,unknown / no property,37,stores,for free,1,skilled employee / official,1,registered under the customers name,yes,bad
no,36,existing credits paid back duly till now,radio/television,2394,unknown/no savings,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,25,none,own,1,skilled employee / official,1,none,yes,good
no,36,existing credits paid back duly till now,car (used),8133,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1,none,yes,good
no,7,critical account/ other credits existing (other lender),radio/television,730,unknown/no savings,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,registered under the customers name,yes,good
yes,8,critical account/ other credits existing (other lender),others,1164,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,51,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
yes,42,critical account/ other credits existing (other lender),business,5954,... < 1000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,< 1 year,real estate,41,bank,own,2,unskilled - resident,1,none,yes,good
yes,36,existing credits paid back duly till now,education,1977,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,12,critical account/ other credits existing (other lender),car (used),1526,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,66,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
yes,42,existing credits paid back duly till now,radio/television,3965,... < 1000,... < 1 year,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,34,none,own,1,skilled employee / official,1,none,yes,bad
yes,11,delay in paying off in the past,radio/television,4771,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,none,yes,good
no,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,none,yes,good
yes,30,existing credits paid back duly till now,furniture/equipment,3832,... < 1000,... < 1 year,25 <= ... < 35,male : married/widowed,none,< 1 year,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,radio/television,5943,unknown/no savings,... < 1 year,>= 35,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,44,none,own,2,skilled employee / official,1,registered under the customers name,yes,bad
no,15,existing credits paid back duly till now,radio/television,1213,5000 <= ... < 10000,... >= 7 years,< 20,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,18,existing credits paid back duly till now,business,1568,1000 <= ... < 5000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,24,none,rent,1,unskilled - resident,1,none,yes,good
yes,24,existing credits paid back duly till now,others,1755,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,guarantor,>= 7 years,real estate,58,none,own,1,unskilled - resident,1,registered under the customers name,yes,good
yes,10,existing credits paid back duly till now,radio/television,2315,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,real estate,52,none,own,1,unskilled - resident,1,none,yes,good
no,12,critical account/ other credits existing (other lender),business,1412,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,guarantor,1 <= ... < 4 years,real estate,29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,18,critical account/ other credits existing (other lender),furniture/equipment,1295,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,good
yes,36,existing credits paid back duly till now,education,12612,1000 <= ... < 5000,1 <= ... < 4 years,>= 35,male : single,none,>= 7 years,unknown / no property,47,none,for free,1,skilled employee / official,2,registered under the customers name,yes,bad
yes,18,existing credits paid back duly till now,car (new),2249,1000 <= ... < 5000,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
yes,12,no credits taken/ all credits paid back duly,repairs,1108,... < 1000,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,real estate,28,none,own,2,skilled employee / official,1,none,yes,bad
no,12,critical account/ other credits existing (other lender),radio/television,618,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,56,none,own,1,skilled employee / official,1,none,yes,good
yes,12,critical account/ other credits existing (other lender),car (used),1409,... < 1000,... >= 7 years,< 20,male : single,none,4 <= ... < 7 years,real estate,54,none,own,1,skilled employee / official,1,none,yes,good
no,12,critical account/ other credits existing (other lender),radio/television,797,unknown/no savings,... >= 7 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,building society savings agreement/ life insurance,33,bank,own,1,unskilled - resident,2,none,yes,bad
yes,24,critical account/ other credits existing (other lender),furniture/equipment,3617,unknown/no savings,... >= 7 years,< 20,male : single,co-applicant,>= 7 years,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,car (new),1318,... >= 10000,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,54,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,54,no credits taken/ all credits paid back duly,business,15945,... < 1000,... < 1 year,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,58,none,rent,1,skilled employee / official,1,registered under the customers name,yes,bad
no,12,critical account/ other credits existing (other lender),education,2012,unknown/no savings,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,61,none,own,1,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,business,2622,1000 <= ... < 5000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,34,none,own,1,skilled employee / official,1,none,yes,good
yes,36,critical account/ other credits existing (other lender),radio/television,2337,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,36,none,own,1,skilled employee / official,1,none,yes,good
yes,20,delay in paying off in the past,car (used),7057,unknown/no savings,4 <= ... < 7 years,20 <= ... < 25,male : single,none,>= 7 years,building society savings agreement/ life insurance,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,car (new),1469,1000 <= ... < 5000,... >= 7 years,< 20,male : married/widowed,none,>= 7 years,real estate,41,none,rent,1,unskilled - resident,1,none,yes,good
yes,36,existing credits paid back duly till now,radio/television,2323,... < 1000,4 <= ... < 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,24,none,rent,1,skilled employee / official,1,none,yes,good
no,6,delay in paying off in the past,radio/television,932,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,24,none,own,1,skilled employee / official,1,none,yes,good
yes,9,critical account/ other credits existing (other lender),furniture/equipment,1919,... < 1000,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,35,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,car (used),2445,unknown/no savings,... < 1 year,25 <= ... < 35,male : married/widowed,none,>= 7 years,car or other-not included in savings,26,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,critical account/ other credits existing (other lender),others,11938,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,co-applicant,4 <= ... < 7 years,car or other-not included in savings,39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,bad
no,18,all credits at this bank paid back duly,car (new),6458,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,bad
yes,12,existing credits paid back duly till now,car (new),6078,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,32,none,own,1,skilled employee / official,1,none,yes,good
yes,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/no savings,... < 1 year,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,registered under the customers name,no,good
yes,14,existing credits paid back duly till now,business,1410,5000 <= ... < 10000,... >= 7 years,>= 35,male : married/widowed,none,1 <= ... < 4 years,real estate,35,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,6,delay in paying off in the past,business,1449,1000 <= ... < 5000,... >= 7 years,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,31,bank,own,2,skilled employee / official,2,none,yes,good
yes,15,existing credits paid back duly till now,education,392,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
yes,18,existing credits paid back duly till now,car (new),6260,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,4 <= ... < 7 years,real estate,28,none,rent,1,unskilled - resident,1,none,yes,good
no,36,critical account/ other credits existing (other lender),car (new),7855,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,25,stores,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,12,existing credits paid back duly till now,radio/television,1680,5000 <= ... < 10000,... >= 7 years,20 <= ... < 25,male : married/widowed,none,< 1 year,real estate,35,none,own,1,skilled employee / official,1,none,yes,good
no,48,critical account/ other credits existing (other lender),radio/television,3578,unknown/no savings,... >= 7 years,< 20,male : single,none,< 1 year,real estate,47,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,42,existing credits paid back duly till now,radio/television,7174,unknown/no savings,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,10,critical account/ other credits existing (other lender),furniture/equipment,2132,unknown/no savings,... < 1 year,25 <= ... < 35,female : divorced/separated/married,co-applicant,4 <= ... < 7 years,real estate,27,none,rent,2,skilled employee / official,1,none,no,good
yes,33,critical account/ other credits existing (other lender),furniture/equipment,4281,5000 <= ... < 10000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,23,none,own,2,skilled employee / official,1,none,yes,bad
yes,12,critical account/ other credits existing (other lender),car (new),2366,5000 <= ... < 10000,4 <= ... < 7 years,20 <= ... < 25,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,21,existing credits paid back duly till now,radio/television,1835,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,25,none,own,2,skilled employee / official,1,registered under the customers name,yes,bad
no,24,critical account/ other credits existing (other lender),car (used),3868,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,furniture/equipment,1768,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,real estate,24,none,rent,1,unskilled - resident,1,none,yes,good
yes,10,critical account/ other credits existing (other lender),car (new),781,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,63,none,for free,2,skilled employee / official,1,registered under the customers name,yes,good
yes,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/no savings,... < 1 year,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,real estate,27,none,rent,1,skilled employee / official,1,none,yes,bad
yes,12,critical account/ other credits existing (other lender),car (new),2121,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,701,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,none,1 <= ... < 4 years,real estate,40,none,own,1,unskilled - resident,1,none,yes,good
yes,12,existing credits paid back duly till now,repairs,639,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,30,none,own,1,skilled employee / official,1,none,yes,bad
